time,pm2.5,pm10,co,so2,no2,o3,aqi,aqi_6
3,74,138,697,6,12,23,162,313
4,82,150,692,10,21,15,158,323
5,85,167,674,11,11,18,184,289
6,134,193,744,11,23,16,287,280
7,140,227,759,4,20,9,298,241
8,143,221,753,13,19,11,314,249
9,136,217,751,3,22,15,308,209
10,139,208,742,11,16,21,314,206
11,119,215,731,10,22,17,289,242
12,125,220,695,3,15,22,278,209
13,104,190,711,5,19,30,231,260
14,113,168,690,9,17,34,247,274
15,92,177,622,12,15,26,214,305
16,102,171,572,5,16,20,210,286
17,103,200,609,14,13,22,240,252
18,98,189,714,6,17,16,210,276
19,117,214,830,13,20,15,263,256
20,115,204,1008,6,24,13,277,224
21,141,223,989,6,13,21,307,301
22,124,229,1020,9,12,15,279,295
23,110,184,1123,6,17,22,266,277
0,116,182,1067,3,10,19,275,264
1,113,201,2358,5,25,15,262,228
2,103,205,2927,9,14,7,227,242
3,123,234,928,15,18,17,306,240
4,118,242,889,6,10,11,295,195
5,125,183,1248,12,19,10,287,217
6,118,210,1320,14,19,9,266,237
7,109,194,790,11,13,11,260,133
8,110,186,773,6,21,20,272,118
9,117,184,747,12,11,12,264,120
10,89,166,746,14,14,14,175,124
11,75,164,733,14,17,20,167,130
12,69,141,653,8,10,21,134,134
13,64,138,622,12,14,22,132,200
14,68,128,605,14,22,24,119,216
15,64,122,562,3,11,25,119,258
16,58,127,623,3,16,27,125,229
17,60,131,742,9,18,17,124,244
18,75,148,842,12,20,12,134,223
19,86,189,1118,12,13,13,197,267
20,98,204,1236,10,20,14,213,221
21,115,209,1230,5,13,17,255,199
22,98,242,1346,4,14,9,226,209
23,105,242,1417,15,9,9,223,203
0,95,199,1085,8,20,17,212,222
1,135,189,889,13,18,24,267,207
2,95,194,883,5,22,24,209,217
3,100,173,910,6,14,18,202,209
4,91,184,890,7,19,15,211,215
5,92,174,867,3,13,21,208,183
6,99,193,721,7,17,8,214,148
7,95,186,726,3,18,18,207,146
8,100,174,856,9,11,20,218,145
9,89,205,741,8,21,20,203,149
10,93,215,655,11,17,12,224,146
11,87,183,619,8,14,16,179,148
12,75,148,620,11,12,15,155,240
13,81,149,653,10,13,15,156,223
14,70,146,612,7,9,26,143,227
15,79,153,649,15,12,31,150,260
16,75,146,634,10,21,25,147,236
17,81,139,665,17,19,25,149,275
18,104,185,768,12,21,17,246,242
19,87,194,892,7,20,9,213,182
20,100,193,1052,11,22,16,218,187
21,111,215,1117,2,15,10,266,182
22,106,213,959,3,22,13,238,179
23,114,224,1007,10,21,17,259,187
0,94,198,844,11,19,17,225,175
1,82,172,789,12,11,14,178,192
2,92,166,743,12,20,13,185,180
3,89,169,756,9,15,14,181,221
4,88,166,767,4,16,15,177,200
5,91,171,762,4,17,15,182,191
6,81,150,785,13,18,10,173,184
7,94,152,745,4,9,16,187,196
8,84,146,694,4,10,9,183,169
9,102,175,735,12,17,21,222,150
10,89,187,721,8,14,17,202,152
11,84,193,690,4,18,14,189,160
12,84,180,685,5,21,27,182,207
13,93,193,665,7,16,20,195,191
14,77,158,763,9,12,23,169,203
15,74,155,711,11,18,18,150,229
16,75,150,693,13,10,14,150,305
17,78,157,694,8,14,22,165,234
18,97,187,778,4,18,14,199,222
19,93,183,783,4,22,17,184,248
20,91,179,982,6,13,10,209,183
21,106,199,1011,8,25,19,229,172
22,133,190,766,3,12,12,306,173
23,105,183,929,3,21,11,233,190
0,105,171,855,4,13,18,233,221
1,122,195,806,13,14,23,250,221
2,87,185,754,15,15,11,184,234
3,89,171,758,15,19,12,181,230
4,85,164,760,3,20,14,183,239
5,91,166,733,10,16,12,193,239
6,100,168,761,9,19,13,227,221
7,101,152,914,7,16,20,217,189
8,102,172,722,5,21,16,229,196
9,107,173,772,13,15,8,236,183
10,101,182,740,15,22,14,234,159
11,108,169,741,16,20,19,241,182
12,95,156,686,16,12,17,222,187
13,91,164,680,7,13,29,189,208
14,93,175,588,7,9,26,196,192
15,81,170,671,9,16,22,181,206
16,77,159,607,16,17,26,164,245
17,91,151,673,15,12,25,183,205
18,95,169,726,16,23,14,191,206
19,89,176,780,13,15,16,210,213
20,95,174,828,10,21,9,191,204
21,101,181,735,10,23,11,208,171
22,129,172,844,4,19,11,248,167
23,95,174,949,10,18,11,204,188
0,91,178,752,6,23,15,207,207
1,97,178,745,12,23,20,215,242
2,97,169,710,8,13,13,200,218
3,88,171,750,7,14,19,179,184
4,88,171,712,6,15,14,168,179
5,87,171,713,6,22,20,198,192
6,95,173,679,11,17,11,209,215
7,108,185,649,7,23,9,235,177
8,91,172,1032,4,18,18,217,173
9,87,160,644,4,23,16,191,165
10,85,153,1150,3,21,21,180,167
11,95,157,1210,11,15,15,191,163
12,99,164,647,15,18,26,210,150
13,91,160,633,7,21,26,183,181
14,81,161,581,12,19,26,183,276
15,78,145,587,8,15,28,159,299
16,83,148,610,10,14,22,170,302
17,77,135,639,14,15,20,159,293
18,82,132,719,13,19,11,151,296
19,81,146,895,13,14,20,181,199
20,119,177,1048,5,23,16,267,178
21,138,212,1220,13,16,8,305,197
22,133,213,1123,14,15,13,305,172
23,107,207,1031,8,22,8,257,180
0,106,184,923,13,13,15,228,172
1,85,165,767,4,17,14,186,186
2,89,168,773,8,13,20,181,214
3,81,165,785,4,22,14,185,167
4,88,165,822,11,13,20,176,219
5,88,161,782,12,15,18,186,193
6,79,161,739,10,13,16,177,196
7,93,161,723,14,14,8,189,161
8,90,155,766,7,15,9,207,162
9,90,159,756,3,20,9,172,145
10,93,157,732,9,14,18,221,148
11,93,169,754,9,11,21,193,170
12,93,159,693,17,15,17,201,162
13,78,161,587,10,17,16,158,191
14,72,160,612,10,15,23,154,212
15,75,160,628,12,21,14,144,277
16,80,160,635,8,17,17,154,309
17,80,155,661,4,20,24,163,278
18,78,165,721,13,13,23,154,263
19,91,180,813,12,21,12,190,207
20,91,195,886,10,14,11,212,208
21,126,222,933,7,18,10,280,204
22,131,226,1041,16,17,10,313,203
23,135,211,1179,3,14,10,268,186
0,115,214,983,6,17,19,266,172
1,99,171,765,13,12,14,200,154
2,94,181,777,3,21,19,204,168
3,98,173,777,9,17,15,210,162
4,98,173,784,10,12,19,203,166
5,89,163,743,11,21,19,187,171
6,77,164,625,1,17,13,161,147
7,78,151,666,6,13,13,149,159
8,79,148,657,8,10,15,168,140
9,77,155,685,6,17,21,168,122
10,82,125,699,8,12,12,166,116
11,79,160,697,13,14,13,168,127
12,88,147,653,3,21,18,148,160
13,79,141,617,5,21,27,160,170
14,69,133,598,12,18,28,133,218
15,55,132,607,2,20,24,123,241
16,63,115,587,4,14,27,118,269
17,62,127,640,14,12,24,118,273
18,77,143,703,13,15,15,158,270
19,81,152,911,14,13,17,179,205
20,102,177,1242,61,17,10,229,209
21,110,216,1360,7,22,20,242,207
22,125,273,1528,3,24,11,279,213
23,160,265,1168,6,28,28,334,187
0,130,207,983,1,27,27,296,289
1,106,164,710,21,16,24,237,306
2,91,146,684,17,20,19,167,326
3,83,140,699,11,21,22,152,314
4,81,138,695,20,12,24,173,312
5,96,170,685,18,22,10,182,302
6,132,200,745,21,27,18,285,296
7,139,235,763,11,16,21,306,237
8,150,221,767,15,22,14,324,255
9,146,215,752,5,27,22,318,207
10,147,217,746,16,24,23,330,218
11,126,211,735,19,35,25,296,249
12,131,230,687,22,25,27,292,216
13,106,204,708,15,15,25,235,266
14,117,174,692,7,24,32,267,273
15,106,177,638,9,14,27,203,308
16,106,176,580,8,28,31,218,286
17,115,191,616,16,23,19,250,262
18,104,186,727,7,13,14,220,266
19,108,212,833,17,26,16,266,272
20,127,209,1015,11,30,20,271,233
21,131,226,991,10,22,9,317,300
22,140,229,1031,13,17,12,281,299
23,115,187,1120,14,14,14,265,277
0,115,190,1075,16,28,26,270,280
1,118,209,2374,14,22,10,269,231
2,101,210,2934,16,13,10,235,238
3,134,240,930,13,21,13,305,243
4,135,251,906,11,21,23,296,203
5,127,185,1253,19,26,16,281,215
6,112,218,1323,16,24,24,266,238
7,108,207,787,12,19,16,260,138
8,112,190,776,12,24,12,262,120
9,121,183,748,4,16,21,274,123
10,90,160,746,10,28,14,176,117
11,83,167,726,8,28,19,162,134
12,84,158,643,15,13,32,140,146
13,64,148,627,12,15,28,130,195
14,67,133,613,10,26,29,113,224
15,68,132,566,12,25,32,119,272
16,65,125,633,9,20,23,128,223
17,75,139,748,19,29,32,121,238
18,76,158,835,20,18,19,146,222
19,90,184,1116,15,32,20,200,282
20,94,215,1254,10,25,16,212,225
21,123,223,1244,12,22,17,265,210
22,98,244,1343,14,30,19,228,213
23,114,256,1433,13,9,23,230,222
0,97,207,1095,15,20,15,220,218
1,139,199,882,11,29,26,283,220
2,98,192,891,21,22,17,215,218
3,99,185,910,13,25,30,207,204
4,102,188,897,7,11,28,203,219
5,108,181,865,4,25,21,214,175
6,98,207,727,17,15,23,231,149
7,92,201,732,20,24,11,215,156
8,99,183,845,4,23,15,224,155
9,93,202,747,22,27,15,216,152
10,97,216,653,20,21,15,218,160
11,93,173,624,7,21,29,187,146
12,89,141,631,15,24,20,144,243
13,81,158,659,16,21,25,149,212
14,76,150,617,9,24,23,152,228
15,76,143,644,21,9,38,164,276
16,81,155,638,17,8,37,145,236
17,82,145,664,21,22,29,144,265
18,105,189,775,17,22,26,242,247
19,92,200,902,12,31,8,210,191
20,104,194,1058,16,27,16,231,181
21,109,219,1123,14,27,15,258,188
22,114,224,962,6,19,15,243,188
23,103,218,1007,14,20,13,257,183
0,111,197,849,13,15,20,222,180
1,88,180,794,11,24,17,192,189
2,89,163,745,18,17,24,191,197
3,86,164,760,12,19,15,180,235
4,93,167,768,6,14,31,184,202
5,90,162,761,8,18,17,194,195
6,99,152,790,15,18,16,163,189
7,83,157,747,15,21,15,182,200
8,94,147,694,20,20,23,182,169
9,113,170,729,18,17,13,233,143
10,94,177,729,8,14,13,203,156
11,92,203,685,11,20,26,196,164
12,84,183,692,11,16,24,188,214
13,86,200,668,11,29,21,203,183
14,91,167,774,18,16,29,176,214
15,76,169,716,14,15,30,156,235
16,81,160,696,15,17,33,158,302
17,83,155,695,16,11,33,167,231
18,102,195,788,10,22,22,213,227
19,101,196,782,22,18,26,195,260
20,97,187,974,18,23,22,218,198
21,107,200,1007,11,15,27,235,176
22,150,203,774,7,30,12,308,173
23,106,187,932,9,26,26,222,200
0,97,180,859,23,17,21,230,231
1,120,197,812,17,15,19,253,221
2,93,185,762,21,25,12,194,228
3,91,177,760,21,23,26,179,246
4,99,172,758,15,10,13,184,244
5,90,177,731,17,25,19,202,244
6,96,170,765,12,20,13,231,217
7,100,160,914,16,30,26,225,198
8,97,172,722,10,14,11,236,198
9,107,172,765,11,27,17,238,179
10,104,179,749,19,21,21,230,173
11,110,176,759,15,24,19,240,185
12,97,157,694,14,14,15,225,192
13,97,179,683,17,16,35,194,208
14,96,181,589,11,20,38,184,179
15,95,169,674,16,21,37,193,223
16,79,165,624,8,25,28,163,250
17,103,153,681,18,29,22,192,214
18,99,171,729,5,19,32,186,205
19,106,174,775,10,21,14,210,222
20,92,181,833,4,21,6,199,206
21,104,182,736,13,23,19,211,172
22,127,172,847,17,20,21,254,179
23,96,187,945,3,16,20,216,186
0,91,173,753,17,16,24,203,224
1,105,168,758,5,18,17,216,244
2,94,163,709,4,24,16,195,215
3,95,176,746,10,16,13,179,191
4,85,173,716,12,27,16,166,190
5,105,174,717,11,21,20,196,196
6,98,184,687,9,30,22,214,224
7,103,183,641,13,22,9,240,184
8,96,178,1038,21,18,8,224,186
9,90,160,643,6,12,22,196,162
10,89,155,1160,17,20,23,182,164
11,99,165,1206,14,21,16,190,157
12,94,162,649,19,23,24,210,142
13,82,166,631,7,22,29,191,188
14,84,162,585,17,20,27,177,274
15,80,153,596,19,18,37,168,309
16,93,148,613,18,18,27,179,311
17,77,137,655,18,31,31,157,294
18,71,145,722,11,18,20,157,294
19,82,148,896,15,26,25,184,197
20,112,183,1049,13,21,15,272,186
21,144,206,1220,18,15,21,299,206
22,135,210,1125,6,18,9,308,174
23,111,223,1038,11,28,18,266,182
0,105,182,941,9,8,15,224,178
1,92,175,776,15,21,17,187,195
2,86,170,782,12,16,16,192,215
3,84,172,778,16,23,22,186,181
4,81,167,829,14,27,20,175,226
5,95,162,786,23,30,16,179,195
6,94,166,745,9,20,19,185,197
7,92,155,728,10,30,11,203,167
8,100,169,766,19,15,21,218,166
9,92,158,758,21,22,24,186,148
10,102,175,721,5,21,20,219,155
11,105,178,757,12,26,11,195,164
12,101,164,707,14,15,33,196,161
13,90,177,594,26,27,23,171,203
14,93,152,616,3,16,29,168,217
15,86,174,625,21,23,26,159,280
16,75,159,633,8,19,29,148,316
17,95,161,670,19,27,37,164,277
18,79,168,721,19,31,32,167,267
19,86,189,816,14,28,29,195,209
20,92,205,888,13,22,8,220,213
21,128,229,946,21,21,19,280,211
22,132,238,1054,16,18,30,305,219
23,145,211,1184,14,11,21,281,196
0,127,219,988,18,27,25,261,179
1,107,177,778,12,22,20,212,158
2,104,190,778,17,21,24,199,160
3,100,188,783,21,16,25,214,160
4,103,173,788,19,28,30,216,168
5,100,166,753,12,16,21,188,174
6,84,165,629,12,16,27,171,143
7,81,158,673,7,15,15,160,160
8,90,141,661,9,15,15,161,149
9,88,167,688,7,27,23,177,135
10,86,135,707,12,14,23,168,113
11,89,159,701,12,15,24,183,124
12,88,153,658,14,25,28,151,165
13,83,145,622,6,20,25,170,175
14,63,143,607,16,21,23,151,216
15,61,133,612,17,23,34,126,247
16,68,119,584,13,18,35,119,282
17,76,127,643,19,25,32,131,271
18,88,140,703,6,24,20,170,272
19,92,163,920,13,29,21,190,207
20,93,182,1262,66,28,22,221,204
21,98,221,1368,9,19,23,248,219
22,137,283,1539,11,28,24,275,209
23,152,270,1170,15,24,24,325,191
0,144,193,987,8,14,27,301,295
1,116,165,716,17,28,19,242,314
2,86,146,677,13,14,9,174,316
3,86,146,695,17,23,13,151,321
4,72,148,696,1,14,26,166,326
5,86,166,681,19,15,21,189,293
6,127,212,752,16,17,21,287,286
7,128,222,757,20,26,27,301,236
8,145,233,763,11,17,22,312,259
9,140,210,751,5,26,18,309,211
10,138,213,754,17,19,14,327,222
11,126,211,734,19,23,20,297,246
12,135,223,698,12,13,27,292,213
13,105,202,714,12,21,39,250,262
14,110,178,692,11,15,30,252,273
15,94,184,631,9,14,36,212,307
16,97,163,583,17,18,26,207,297
17,110,199,612,17,22,18,238,260
18,104,186,722,8,19,24,215,275
19,115,209,835,10,23,13,276,263
20,126,211,1008,10,22,17,274,237
21,147,232,998,4,19,15,310,305
22,139,244,1025,10,16,18,286,290
23,112,183,1115,10,15,22,272,288
0,112,192,1074,18,31,27,277,269
1,128,204,2371,16,30,16,269,232
2,114,209,2937,13,24,22,241,237
3,126,245,938,10,11,20,307,243
4,124,238,891,5,28,12,292,197
5,123,180,1262,13,35,21,288,227
6,111,221,1322,15,31,17,268,244
7,117,199,804,14,19,19,267,132
8,125,184,771,21,21,23,272,122
9,126,190,750,4,22,16,269,116
10,98,174,750,17,20,32,177,114
11,79,156,727,13,20,25,162,129
12,77,150,640,11,17,33,139,146
13,60,145,621,9,22,26,125,203
14,69,136,625,12,19,23,128,222
15,59,133,576,19,19,33,128,270
16,61,125,632,12,27,20,122,220
17,68,141,748,19,23,19,133,244
18,78,150,845,19,22,21,136,210
19,101,196,1116,3,22,12,199,279
20,105,209,1243,20,16,23,219,215
21,115,216,1241,22,26,15,265,216
22,97,247,1338,13,25,16,220,211
23,119,258,1427,24,15,14,236,209
0,101,204,1090,3,12,27,216,224
1,143,202,886,0,25,14,271,216
2,95,204,876,7,23,26,216,223
3,93,176,914,0,14,30,203,210
4,111,185,901,13,15,32,222,228
5,95,180,856,19,20,22,206,190
6,107,193,725,14,20,26,231,161
7,93,192,734,1,14,16,218,162
8,101,175,854,12,18,14,228,153
9,103,215,755,11,17,21,208,164
10,107,216,655,16,15,17,227,160
11,85,183,627,14,17,32,187,155
12,83,156,633,13,16,31,155,253
13,86,155,665,16,20,21,147,216
14,74,142,613,15,8,19,144,225
15,74,149,641,13,19,41,161,262
16,81,143,627,21,19,24,150,234
17,75,148,668,22,26,36,146,275
18,100,195,767,16,15,27,242,246
19,88,195,901,23,14,9,217,184
20,96,187,1053,18,16,23,233,192
21,117,219,1125,8,30,19,264,186
22,99,215,961,13,17,12,236,195
23,120,222,1004,11,28,21,272,180
0,109,203,844,14,17,19,215,167
1,87,171,796,22,30,18,185,185
2,97,164,741,8,22,27,191,185
3,90,164,763,15,16,14,178,222
4,91,176,777,15,21,24,191,209
5,94,167,768,14,19,20,185,190
6,93,162,782,5,14,23,172,183
7,93,159,746,5,15,31,197,197
8,90,148,700,12,24,13,180,171
9,103,169,730,11,18,21,229,149
10,106,191,719,7,14,13,205,153
11,92,203,691,8,18,12,192,160
12,84,193,691,7,20,29,181,209
13,94,196,676,25,20,19,192,184
14,83,158,769,15,25,31,175,203
15,65,163,709,19,23,27,157,232
16,79,154,698,8,20,25,142,302
17,86,155,699,11,11,25,164,232
18,102,195,786,5,15,13,209,235
19,95,189,786,11,24,23,196,261
20,102,182,983,13,22,20,218,196
21,100,189,1013,12,21,9,228,174
22,135,200,784,17,26,16,303,183
23,99,196,923,19,23,13,233,180
0,110,173,846,7,17,32,241,231
1,122,208,809,15,22,15,261,220
2,103,176,761,13,23,27,181,227
3,93,171,766,15,15,16,181,237
4,91,168,772,21,20,27,182,239
5,99,183,744,12,17,18,182,246
6,105,180,765,4,19,22,220,226
7,100,166,919,16,13,18,215,196
8,104,180,730,16,21,15,241,190
9,110,170,780,20,24,16,231,183
10,109,188,745,22,19,20,241,161
11,112,178,748,6,23,10,242,183
12,101,159,687,7,18,30,229,193
13,96,172,679,18,19,32,190,202
14,88,179,595,10,27,39,197,197
15,89,169,680,16,14,40,186,215
16,77,164,619,4,18,17,168,250
17,92,147,676,3,14,34,173,206
18,99,162,732,23,21,16,195,211
19,96,170,783,4,23,19,212,215
20,89,179,835,14,29,18,194,194
21,93,187,756,6,24,18,218,178
22,129,169,859,19,23,18,255,172
23,109,181,963,20,17,19,224,206
0,93,176,751,15,16,18,201,215
1,99,186,750,5,12,26,216,240
2,85,172,716,22,18,22,202,216
3,90,177,753,23,27,16,180,188
4,89,170,718,7,21,23,168,177
5,102,182,714,23,21,25,202,207
6,98,189,692,14,17,18,212,216
7,107,194,649,13,21,23,240,181
8,94,183,1030,11,21,9,215,185
9,99,170,645,14,23,28,198,163
10,85,164,1143,15,25,25,196,178
11,89,155,1226,6,28,16,192,161
12,93,154,656,23,16,26,224,157
13,97,157,634,14,26,32,180,187
14,93,162,583,8,27,30,189,278
15,83,161,592,6,21,38,167,306
16,85,145,604,17,22,27,158,305
17,95,134,644,18,22,29,154,294
18,77,144,715,15,30,13,143,292
19,84,152,899,6,27,19,184,202
20,119,179,1042,14,14,16,283,180
21,145,223,1223,19,25,9,309,200
22,132,225,1129,8,19,14,302,190
23,110,212,1032,15,29,12,264,180
0,100,181,933,11,8,27,227,179
1,93,165,771,3,27,20,189,193
2,92,165,786,14,11,25,187,211
3,94,170,787,14,14,21,191,176
4,82,170,832,18,21,22,176,217
5,89,166,799,7,17,22,186,199
6,80,171,738,8,16,8,174,210
7,94,160,729,13,25,20,195,170
8,99,161,772,15,20,21,226,156
9,91,153,752,23,14,28,170,156
10,101,164,722,16,31,25,217,149
11,99,175,752,17,26,30,209,159
12,101,167,698,22,21,35,195,172
13,87,164,589,13,23,22,161,190
14,71,155,614,16,17,20,150,228
15,77,160,632,23,23,24,146,274
16,79,156,634,14,19,25,151,317
17,87,161,670,12,10,17,168,284
18,89,159,718,21,23,22,156,270
19,94,175,817,12,12,13,197,210
20,98,208,892,16,24,27,221,206
21,131,223,939,9,26,25,283,209
22,145,238,1053,8,23,9,316,213
23,133,214,1177,7,22,12,268,197
0,124,219,988,19,30,15,273,173
1,99,189,771,19,20,15,209,159
2,99,171,771,16,14,28,204,169
3,100,174,789,20,22,19,212,167
4,101,170,773,13,19,13,212,177
5,95,167,750,6,28,24,192,181
6,84,166,630,7,18,16,170,147
7,76,142,678,4,7,12,162,171
8,89,143,667,10,19,22,175,153
9,87,162,696,21,19,18,166,131
10,91,122,719,16,26,18,175,113
11,92,160,700,3,20,23,176,132
12,86,158,673,13,22,36,149,167
13,87,146,630,13,21,29,157,185
14,80,141,592,1,25,15,140,221
15,76,137,619,8,19,30,136,244
16,72,119,584,15,23,30,125,279
17,74,122,647,10,15,22,132,283
18,92,147,717,14,30,22,172,274
19,84,171,918,8,16,17,183,210
20,108,179,1249,72,27,25,229,208
21,99,227,1357,14,28,9,248,217
22,129,281,1537,11,20,16,282,205
23,172,266,1175,23,22,26,332,185
0,136,204,989,5,26,24,305,291
1,105,170,713,26,21,29,241,311
2,94,152,695,23,15,30,178,331
3,73,143,699,15,27,19,159,315
4,86,155,686,15,21,24,183,313
5,103,177,689,13,17,15,192,302
6,140,203,758,18,31,15,295,296
7,140,240,774,21,20,30,310,256
8,152,220,781,15,19,14,320,261
9,151,221,759,10,31,20,317,209
10,141,216,752,26,20,29,335,228
11,134,213,736,27,36,25,303,251
12,136,226,700,11,27,36,299,213
13,113,206,727,3,24,44,255,272
14,127,179,693,26,26,26,258,281
15,103,183,630,21,26,32,210,312
16,110,183,591,2,31,33,223,293
17,109,188,626,8,21,25,255,267
18,94,194,727,3,16,21,222,278
19,120,224,840,14,28,20,278,281
20,122,216,1016,6,21,17,280,243
21,144,236,993,12,38,7,308,317
22,136,234,1023,17,27,13,293,301
23,116,189,1119,21,24,26,282,282
0,118,183,1082,11,33,32,271,281
1,127,215,2371,16,35,22,264,221
2,108,219,2935,23,20,17,250,251
3,138,230,939,13,20,22,302,246
4,140,242,912,8,19,23,301,211
5,130,171,1258,25,31,34,273,229
6,112,217,1323,17,27,21,267,243
7,116,212,790,20,18,17,276,141
8,123,192,782,13,36,19,270,126
9,133,194,747,9,23,22,275,121
10,90,169,755,17,24,21,177,135
11,83,172,734,13,21,29,174,135
12,84,154,639,17,25,29,149,146
13,62,153,622,6,27,34,140,209
14,82,143,612,21,21,36,113,222
15,84,129,564,18,42,37,119,273
16,75,129,626,15,16,32,136,231
17,72,134,765,14,32,29,133,244
18,71,158,836,27,18,25,157,220
19,92,196,1118,16,39,14,211,288
20,105,209,1252,14,23,30,215,216
21,126,230,1240,21,18,23,274,230
22,96,236,1348,18,27,16,235,221
23,114,257,1428,9,16,17,225,221
0,96,207,1081,19,20,22,212,224
1,147,208,894,18,25,27,280,224
2,107,208,890,14,40,23,220,233
3,102,188,919,21,31,26,200,212
4,109,187,904,14,22,36,219,232
5,112,190,874,7,23,15,227,183
6,101,205,734,15,16,26,231,154
7,99,192,739,26,33,23,232,154
8,104,186,846,16,15,23,218,146
9,101,195,754,19,32,27,218,151
10,102,212,657,29,33,21,222,165
11,104,188,631,13,20,25,183,155
12,90,151,625,28,18,32,153,254
13,80,164,660,17,29,30,163,225
14,84,146,619,12,28,35,153,227
15,82,147,651,22,11,43,166,278
16,78,148,635,5,23,26,159,255
17,81,154,666,24,16,26,152,273
18,104,207,778,23,22,32,252,254
19,97,211,899,15,30,27,210,186
20,118,196,1061,15,22,11,237,190
21,117,224,1136,21,32,27,264,195
22,118,221,963,12,19,20,236,184
23,109,237,1016,21,23,14,259,195
0,110,199,857,13,15,32,223,171
1,92,192,802,12,27,35,195,185
2,102,168,756,17,38,20,179,190
3,96,177,759,27,25,22,177,238
4,92,171,774,15,24,29,187,204
5,88,171,769,22,16,10,193,210
6,87,147,793,26,20,26,181,179
7,95,164,760,25,23,25,188,202
8,95,138,699,12,20,24,178,179
9,104,186,731,23,23,16,236,150
10,114,181,731,14,12,16,216,145
11,105,209,694,8,14,34,189,165
12,100,183,700,20,9,40,185,206
13,94,204,672,14,35,36,214,194
14,93,169,773,21,23,37,175,212
15,91,171,715,19,19,33,157,247
16,82,156,705,8,29,37,159,312
17,84,154,690,11,25,45,169,228
18,109,199,796,12,20,31,218,230
19,103,205,794,32,20,35,204,263
20,110,194,991,34,30,36,211,202
21,109,198,1010,5,21,27,239,174
22,151,206,780,18,38,8,314,189
23,106,184,927,10,22,21,225,204
0,102,183,850,23,26,27,244,234
1,123,206,813,15,17,28,266,224
2,107,185,767,28,18,16,197,233
3,96,188,764,17,26,22,180,261
4,91,173,767,22,18,25,175,238
5,96,186,740,9,24,27,195,249
6,111,180,762,25,30,8,237,217
7,105,174,922,25,20,26,224,205
8,109,173,728,8,16,24,230,209
9,103,168,778,19,31,26,252,185
10,107,189,759,19,21,19,245,176
11,119,182,753,27,33,23,252,183
12,109,167,694,29,21,27,232,199
13,102,186,687,21,18,29,203,210
14,98,191,611,21,26,41,201,196
15,89,171,678,10,24,39,197,220
16,87,169,615,23,32,44,173,247
17,95,161,680,20,39,20,192,222
18,106,179,742,11,30,33,199,219
19,119,169,780,20,36,19,210,223
20,85,180,842,14,22,11,199,194
21,107,186,744,15,30,23,223,187
22,139,179,850,28,19,23,257,186
23,101,178,957,11,26,19,210,199
0,93,178,754,28,28,17,213,225
1,101,175,761,20,22,18,212,250
2,102,182,719,6,32,22,211,230
3,99,180,756,2,28,28,188,198
4,85,164,717,10,25,22,173,190
5,104,181,724,11,26,28,197,185
6,99,192,689,18,38,17,226,220
7,114,175,643,23,29,7,239,198
8,105,179,1041,24,25,14,225,177
9,96,170,645,12,20,25,199,161
10,88,159,1166,15,29,20,191,159
11,99,174,1214,13,26,19,188,169
12,97,169,644,25,21,20,218,147
13,95,165,629,19,18,38,179,197
14,83,161,594,25,32,23,190,273
15,90,160,594,33,29,38,165,312
16,86,152,604,24,28,34,185,312
17,94,137,657,16,30,27,160,303
18,77,150,740,4,20,22,166,291
19,86,154,905,23,21,27,192,199
20,126,191,1058,29,23,16,286,184
21,146,216,1227,22,28,10,307,220
22,137,211,1129,12,21,14,308,185
23,104,231,1040,18,22,31,277,183
0,102,189,948,22,11,16,221,184
1,102,179,781,20,14,32,198,200
2,90,157,789,21,22,27,192,224
3,93,180,780,11,38,36,206,187
4,84,168,826,10,31,21,195,237
5,101,168,794,15,26,12,190,202
6,98,178,743,8,25,32,179,200
7,93,170,735,18,26,16,198,176
8,102,172,774,20,18,21,208,167
9,101,156,768,18,25,25,180,155
10,118,173,731,8,24,30,207,161
11,102,177,757,13,30,23,207,170
12,106,170,707,27,11,45,203,161
13,96,173,594,21,31,19,169,206
14,89,156,627,17,18,33,170,234
15,98,182,635,12,30,34,148,289
16,81,170,642,13,29,33,146,317
17,105,168,667,10,34,31,179,272
18,85,169,715,18,26,40,169,281
19,94,182,832,11,17,28,200,207
20,102,205,887,24,23,6,219,220
21,128,225,937,29,24,26,276,222
22,128,245,1046,15,22,19,310,222
23,141,220,1189,9,24,29,281,196
0,126,215,982,19,18,27,274,182
1,106,186,774,18,23,23,219,177
2,108,197,779,16,34,24,215,164
3,112,185,788,26,22,34,204,159
4,108,180,789,18,27,37,215,179
5,114,176,753,9,15,20,195,173
6,99,181,642,5,27,21,175,146
7,90,159,666,5,21,16,164,165
8,90,141,674,20,19,25,162,146
9,92,165,693,7,34,30,179,137
10,100,131,717,17,34,17,186,115
11,82,172,698,19,15,27,181,126
12,99,152,660,12,14,36,165,172
13,82,153,630,16,19,22,175,174
14,79,138,606,27,21,32,144,221
15,63,136,617,11,24,35,139,254
16,76,127,585,5,30,37,126,281
17,78,126,653,21,35,25,124,273
18,86,143,718,9,32,22,167,275
19,93,165,930,23,38,23,201,210
20,100,187,1265,78,19,16,228,213
21,108,220,1376,24,26,10,241,226
22,140,279,1549,26,37,25,284,206
